Name,From,Institution,Letter,Gender,Race,URM,Research,Status,security,Field,AMS Citations,Is Fields
josh greene,,boston college,B Only,man,white,noturm,moreri,professor,moresecure,math,213,
alexander soshnikov,Russia,university of california davis,B Only,man,white,noturm,moreri,professor,moresecure,math,1057,
ko honda,,university of california los angeles,B Only,man,asian,noturm,moreri,professor,moresecure,math,1075,
dmitry kleinbock,Russia,brandeis university,B Only,man,white,noturm,moreri,professor,moresecure,math,1159,
lawrence c evans,,university of california berkeley,B Only,man,white,noturm,moreri,professor,moresecure,math,12023,
thomas strohmer,,university of california davis,B Only,man,white,noturm,moreri,professor,moresecure,math,1329,
daryl cooper,,university of california santa barbara,B Only,man,white,noturm,moreri,professor,moresecure,math,1016,
kasso a okoudjou,,university of maryland,B Only,man,black,urm,moreri,professor,moresecure,math,490,
richard a litherland,,louisiana state university,B Only,man,white,noturm,moreri,professor,moresecure,math,543,
fyodor malikov,Russia,university of southern california,B Only,man,white,noturm,moreri,professor,moresecure,math,356,
andrei caldararu,Romania,university of wisconsin,B Only,man,white,noturm,moreri,professor,moresecure,math,392,
scott baldridge,,louisiana state university,B Only,man,white,noturm,moreri,professor,moresecure,math,137,
john ratcliffe,,vanderbilt university,B Only,man,white,noturm,moreri,professor,moresecure,math,866,
peter ozsvath,,princeton university,B Only,man,white,noturm,moreri,professor,moresecure,math,3753,
victor ostrik,,university of oregon,B Only,man,white,noturm,moreri,professor,moresecure,math,1708,
michael mihalik,,vanderbilt university,B Only,man,white,noturm,moreri,professor,moresecure,math,429,
robert guy,,university of california davis,B Only,man,white,noturm,moreri,professor,moresecure,math,204,
jesus a de loera,,university of california davis,B Only,man,latinx,urm,moreri,professor,moresecure,math,969,
mark brittenham,,university of nebraska,B Only,man,NA,NA,moreri,professor,moresecure,math,210,
kannan soundararajan,,stanford university,B Only,man,asian,noturm,moreri,professor,moresecure,math,1242,
alexander berkovich,Russia,university of florida,B Only,man,white,noturm,moreri,professor,moresecure,math,387,
