name,affiliation,citations,hindex,year,lettergroup,gender,highered,institution,research,country,role,security,field,simplefield,fellows,amscit,Fields
alex buchel,western university,6467,46,,B Only,man,highered,international,moreri,canada,professor,moresecure,math,mathstat,FALSE,,FALSE
nahum zobin,college of william and mary,,,1975,B Only,man,highered,domesticr2,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
latham boyle,perimeter institute,,,,B Only,man,highered,international,moreri,canada,,,other,other ,FALSE,,FALSE
scott aaronson,university of texas at austin,7095,43,2004,B Only,man,highered,domesticr1,moreri,,professor,moresecure,comp,other ,FALSE,,FALSE
aydin mohseni,university of california irvine,,,,B Only,man,highered,domesticr1,moreri,,grad,lesssecure,other,other ,FALSE,,FALSE
robert bryant,duke university,7570,40,1979,B and C,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,TRUE,2339,FALSE
guido mislin,eth zurich,2079,22,1968,B Only,man,highered,international,moreri,switzerland,retired,moresecure,math,mathstat,FALSE,,FALSE
deirdre haskell,mcmaster university,,,1990,B Only,woman,highered,international,moreri,,professor,moresecure,math,mathstat,FALSE,,FALSE
george hagedorn,virginia tech,2219,26,1978,B Only,man,highered,domesticr1,moreri,,retired,moresecure,math,mathstat,FALSE,585,FALSE
zoi rapti,university of illinois,600,13,2005,B Only,woman,highered,domesticr1,moreri,,associate,moresecure,math,mathstat,FALSE,,FALSE
aaron weiss,merkaz lev academy,,,,B Only,man,,,,,,,,,FALSE,,FALSE
stephen l clark,missouri university of science and technology,,,1987,B Only,man,highered,domesticr2,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
lance littlejohn,baylor university,2525,26,1981,B Only,man,highered,domesticr2,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
svetoslav zahariev,city university of new york laguardia college,7,1,1983,B Only,man,highered,domesticother,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
todd kapitula,calvin university,2497,30,1991,B Only,man,highered,domesticother,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
irina yaroshevskaya,yanbor llc,,,,B Only,woman,nothighered,,,,,,,,FALSE,,FALSE
fritz gesztesy,baylor university,11925,55,1976,B Only,man,highered,domesticr2,lessri,,professor,moresecure,math,mathstat,TRUE,,FALSE
