name,affiliation,citations,hindex,year,lettergroup,gender,highered,institution,research,country,role,security,field,simplefield,fellows,amscit,Fields
ramya kumar,university of minnesota,,,,B Only,woman,highered,domesticr1,moreri,,ntt,lesssecure,other,other ,FALSE,,FALSE
carlos kenig,university of chicago,22519,77,1978,B and C,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,TRUE,11605,FALSE
eduardo cattani,university of massachusetts amherst,,,1972,B Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,FALSE,464,FALSE
david cimasoni,university of geneva,463,12,2002,B Only,man,highered,international,moreri,switzerland,ntt,lesssecure,math,mathstat,FALSE,,FALSE
george e andrews,pennsylvania state university,35780,65,1964,B and C,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,TRUE,8428,FALSE
thomas f hayes,,,,1986,B Only,man,,,,,,,,,FALSE,,FALSE
henry ricardo,city university of new york,,,1972,B Only,man,highered,domesticother,lessri,,retired,moresecure,math,mathstat,FALSE,,FALSE
alexander nabutovsky,university of toronto,612,15,1993,B and C,man,highered,international,moreri,canada,professor,moresecure,math,mathstat,FALSE,,FALSE
svetlana katok,pennsylvania state university,1648,16,1991,B and C,woman,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,TRUE,515,FALSE
richard arratia,university of southern california,4995,34,1979,B Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,FALSE,1161,FALSE
ilya gruzberg,ohio state university,,,,B Only,man,highered,domesticr1,moreri,,professor,moresecure,other,other ,FALSE,,FALSE
anna dobritsa,ohio state university,,,,B Only,woman,highered,domesticr1,moreri,,associate,moresecure,other,other ,FALSE,,FALSE
alexander kirillov jr,stony brook university,7019,31,,B Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,TRUE,935,FALSE
philip l bowers,florida state university,,,1983,B Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,FALSE,218,FALSE
donald m davis,lehigh university,,,1967,B Only,man,highered,domesticr2,lessri,,professor,moresecure,math,mathstat,TRUE,,FALSE
chaim goodman strauss,university of arkansas,,,1994,B Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,FALSE,126,FALSE
dror bar natan,university of toronto,4373,26,1991,B Only,man,highered,international,moreri,canada,professor,moresecure,math,mathstat,FALSE,,FALSE
duncan mccoy,universite de quebec a montreal,,,2016,B Only,man,highered,international,moreri,canada,professor,moresecure,math,mathstat,FALSE,,FALSE
maksym radziwill,california institute of technology,,,2013,B Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,FALSE,193,FALSE
deepak kamlesh,university of oxford,,,,B Only,man,highered,international,moreri,united kingdom,grad,lesssecure,math,mathstat,FALSE,,FALSE
james lin,,,,,B Only,man,,,,,,,math,mathstat,FALSE,,FALSE
gunnar carlsson,stanford university,9690,43,1976,B and C,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,TRUE,1005,FALSE
jonathan graehl,sdl international,1987,9,1987,B Only,man,nothighered,,,,,,,,FALSE,,FALSE
josh greene,boston college,,,,B Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,FALSE,213,FALSE
satyan devadoss,university of san diego,,,1999,B Only,man,highered,domesticr2,lessri,,professor,moresecure,math,mathstat,TRUE,,FALSE
hyungryul baik,kaist,102,6,2014,B Only,man,highered,international,moreri,south korea,assistant,lesssecure,math,mathstat,FALSE,,FALSE
pavel bacherikov,university of california berkeley,,,,B Only,man,highered,domesticr1,moreri,,grad,lesssecure,other,other ,FALSE,,FALSE
mark hughes,brigham young university,,,,B Only,man,highered,domesticr2,lessri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
alexander soshnikov,university of california davis,,,1997,B Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,FALSE,1062,FALSE
yakov eliashberg,stanford university,,,1972,B and C,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,TRUE,2895,FALSE
elena fuchs,university of california davis,,,2010,B Only,woman,highered,domesticr1,moreri,,associate,moresecure,math,mathstat,FALSE,,FALSE
brian white,stanford university,3357,34,1973,B and C,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,TRUE,1302,FALSE
wendy sandler,university of haifa,,,,B Only,woman,highered,international,moreri,,professor,moresecure,other,other ,FALSE,,FALSE
ko honda,university of california los angeles,2558,28,1997,B Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,TRUE,1082,FALSE
eric m friedlander,university of southern california,,,1970,B and C,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,TRUE,2303,FALSE
dmitry kleinbock,brandeis university,,,1996,B Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,TRUE,1159,FALSE
angelo vistoli,scuola normale superiore,3817,26,1987,B Only,man,highered,international,moreri,italy,professor,moresecure,math,mathstat,FALSE,,FALSE
dmitry gourevitch,weizmann institute of science,699,14,,B Only,man,highered,international,moreri,israel,professor,moresecure,math,mathstat,FALSE,,FALSE
b schaum,university of south florida,,,,B Only,woman,highered,domesticr1,moreri,,grad,lesssecure,math,mathstat,FALSE,,FALSE
lawrence c evans,university of california berkeley,,,1975,B Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,TRUE,12070,FALSE
scott taylor,colby college,48,4,2007,B Only,man,highered,domesticother,lessri,,associate,moresecure,math,mathstat,TRUE,,FALSE
thomas strohmer,university of california davis,15761,46,1993,B Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,FALSE,1343,FALSE
daryl cooper,university of california santa barbara,4028,28,1982,B Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,TRUE,1019,FALSE
michael schein,barilan university,124,6,2006,B Only,man,highered,international,moreri,israel,ntt,lesssecure,math,mathstat,FALSE,,FALSE
dan lynch,williams college,5494,36,,B Only,man,highered,domesticother,lessri,,professor,moresecure,other,other ,FALSE,,FALSE
charles livingston,indiana university,2459,27,1980,B Only,man,highered,domesticr1,moreri,,retired,moresecure,math,mathstat,FALSE,951,FALSE
john baldwin,boston college,2848,23,2008,B Only,man,highered,domesticr1,moreri,,associate,moresecure,math,mathstat,FALSE,,FALSE
susan g williams,university of south alabama,1400,20,1972,B Only,woman,highered,domesticr2,lessri,,professor,moresecure,other,other ,FALSE,,FALSE
daniel silver,university of south alabama,,,1980,B Only,man,highered,domesticr2,lessri,,retired,moresecure,math,mathstat,FALSE,,FALSE
kasso a okoudjou,university of maryland,,,2003,B Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,FALSE,494,FALSE
harald helfgott,university of goettingen,1331,20,2003,B Only,man,highered,international,moreri,,professor,moresecure,math,mathstat,TRUE,,FALSE
william w menasco,university at buffalo,1881,20,1981,B and C,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,FALSE,754,FALSE
patrick gilmer,louisiana state university,919,16,1978,B Only,man,highered,domesticr1,moreri,,retired,moresecure,math,mathstat,FALSE,430,FALSE
howard skogman,suny brockport,,,,B Only,man,highered,domesticother,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
robert busch,university at buffalo,,,,B Only,man,highered,domesticr1,moreri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
alex zupan,university of nebraska,173,9,,B Only,man,highered,domesticr1,moreri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
mark r woodard,furman university,,,1989,B Only,man,highered,domesticother,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
yi wang,suny buffalo,,,2016,B Only,woman,highered,domesticr1,moreri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
david hemmer,michigan technological university,,,2001,B Only,man,highered,domesticr2,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
richard a litherland,louisiana state university,,,1979,B Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,FALSE,545,FALSE
mark s gockenbach,michigan technological university,,,1994,B Only,man,highered,domesticr2,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
ben mccarty,university of memphis,,,2012,B Only,man,highered,domesticr2,lessri,,associate,moresecure,mathed,mathed,FALSE,,FALSE
fyodor malikov,university of southern california,,,,B Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,FALSE,358,FALSE
andrei caldararu,university of wisconsin,1107,16,2000,B Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,FALSE,394,FALSE
scott baldridge,louisiana state university,,,2001,B Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,FALSE,137,FALSE
dusa mcduff,barnard college,,,,B Only,woman,highered,domesticother,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
steven h weintraub,lehigh university,,,,B Only,man,highered,domesticr2,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
william dunbar,bard college at simons rock,,,1981,B Only,man,highered,domesticother,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
joshua howie,university of california davis,37,3,2015,B Only,man,highered,domesticr1,moreri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
john ratcliffe,vanderbilt university,,,1977,B Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,FALSE,866,FALSE
joel foisy,suny potsdam,,,1996,B Only,man,highered,domesticother,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
blair f madore,suny potsdam,,,2000,B Only,man,highered,domesticother,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
peter ozsvath,princeton university,,,,B Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,FALSE,3753,FALSE
benjamin mann,,,,1975,B Only,man,,,,,,,,,FALSE,,FALSE
gershon sageev,university at buffalo,,,1973,B Only,man,highered,domesticr1,moreri,,associate,moresecure,math,mathstat,FALSE,,FALSE
victor ostrik,university of oregon,3997,24,1999,B Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,FALSE,1717,FALSE
michael mihalik,vanderbilt university,,,1979,B Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,FALSE,429,FALSE
robert guy,university of california davis,,,2004,B Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,FALSE,204,FALSE
jesus a de loera,university of california davis,,,,B Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,TRUE,975,FALSE
mark brittenham,university of nebraska,,,1990,B Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,FALSE,210,FALSE
david hoffman,stanford university,,,1971,B Only,man,highered,domesticr1,moreri,,ntt,lesssecure,math,mathstat,TRUE,,FALSE
katie c christensen,furman university,,,,B Only,woman,highered,domesticother,lessri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
erik carlsson,university of california davis,,,,B Only,man,highered,domesticr1,moreri,,associate,moresecure,math,mathstat,FALSE,,FALSE
laura j person,suny potsdam,,,1988,B Only,woman,highered,domesticother,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
adam sikora,suny buffalo,831,14,2000,B Only,man,highered,domesticr1,moreri,,associate,moresecure,math,mathstat,FALSE,,FALSE
john drew,williams liberty,,,,B Only,man,nothighered,,,,,,,,FALSE,,FALSE
leonid bunimovich,georgia institute of technology,6542,39,1973,B and C,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,FALSE,1157,FALSE
dmitry shemetov,university of california davis,,,,B Only,man,highered,domesticr1,moreri,,grad,lesssecure,math,mathstat,FALSE,,FALSE
christina jeffrey,,,,,B Only,woman,,,,,,,,,FALSE,,FALSE
bill browder,princeton university,,,,B Only,man,highered,domesticr1,moreri,,retired,moresecure,math,mathstat,TRUE,774,FALSE
kannan soundararajan,stanford university,,,1998,B Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,TRUE,1242,FALSE
akshay venkatesh,institute for advanced study,678,16,2002,B Only,man,highered,domesticother,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
david mumford,harvard university,,,1961,B and C,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,TRUE,9741,yes
alexander berkovich,university of florida,1331,21,1987,B Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,FALSE,388,FALSE
alexander beilinson,university of chicago,,,,B Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,FALSE,3528,FALSE
carl c cowen,indiana u purdue u indianapolis,,,1976,B Only,man,highered,domesticr2,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
molly dunkum,western kentucky university,,,,B Only,woman,highered,domesticother,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
william johnston,butler university,,,1988,B Only,man,highered,domesticother,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
john p d'angelo,university of illinois,,,,B Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,TRUE,933,FALSE
casey perin,university of california irvine,,,,B Only,man,highered,domesticr1,moreri,,associate,moresecure,other,other ,FALSE,,FALSE
adam buskirk,north dakota state university,,,,B Only,man,highered,domesticr2,lessri,,grad,lesssecure,math,mathstat,FALSE,,FALSE
donatella danielli,purdue university,2230,24,1999,B Only,woman,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,TRUE,1196,FALSE
rebecca wahl,butler university,,,1997,B Only,woman,highered,domesticother,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
kevin walker,,,,1989,B Only,man,,,,,,,,,FALSE,,FALSE
justin clarke,ottawa university,4,1,,B Only,man,highered,international,moreri,canada,assistant,lesssecure,other,other ,FALSE,,FALSE
michael bramley,,,,,B Only,man,,,,,,,,,FALSE,,FALSE
linda keen,city university of new york,,,1964,B Only,woman,highered,domesticr1,moreri,,retired,moresecure,math,mathstat,TRUE,647,FALSE
victor ginzburg,university of chicago,,,1985,B Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,TRUE,3230,FALSE
michael finkelberg,national research university higher school of economics,1885,25,1993,B Only,man,highered,international,moreri,russia,professor,moresecure,math,mathstat,FALSE,,FALSE
roger l albin,university of michigan,,,,B Only,man,highered,domesticr1,moreri,,professor,moresecure,other,other ,FALSE,,FALSE
john hunter,university of california davis,,,1981,B Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,FALSE,1155,FALSE
paul humphreys,university of virginia,4528,28,1976,B Only,man,highered,domesticr1,moreri,,professor,moresecure,other,other ,FALSE,,FALSE
jessica banks,university of liverpool,,,,B Only,woman,highered,international,moreri,united kingdom,professor,moresecure,math,mathstat,FALSE,,FALSE
mikhail shifman,university of minnesota,50734,106,,B Only,man,highered,domesticr1,moreri,,professor,moresecure,other,other ,FALSE,,FALSE
lee rudolph,clark university,1832,25,1974,B Only,man,highered,domesticr2,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
james henle,smith college,,,1976,B Only,man,highered,domesticother,lessri,,retired,moresecure,math,mathstat,FALSE,,FALSE
peter doyle,dartmouth college,,,1982,B Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,FALSE,524,FALSE
john cullinan,bard college,,,2005,B Only,man,highered,domesticother,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
ilya kofman,city university of new york,449,12,2000,B Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,FALSE,215,FALSE
bena tshishiku,brown university,,,2015,B Only,man,highered,domesticr1,moreri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
joan birman,barnard college,,,1990,B Only,woman,highered,domesticr1,moreri,,retired,moresecure,math,mathstat,TRUE,3081,FALSE
michael henle,oberlin college,,,1970,B Only,man,highered,domesticother,lessri,,retired,moresecure,math,mathstat,FALSE,,FALSE
nicholas kuhn,university of virginia,1725,23,1980,B Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,TRUE,690,FALSE
michael olinick,middlebury college,,,1970,B Only,man,highered,domesticother,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
john carlsson,university of southern california,885,15,2009,B Only,man,highered,domesticr1,moreri,,associate,moresecure,other,other ,FALSE,,FALSE
vera serganova,university of california berkeley,,,1988,B and C,woman,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,FALSE,851,FALSE
patrice koehl,university of california davis,8042,43,,B Only,man,highered,domesticr1,moreri,,professor,moresecure,comp,other ,FALSE,,FALSE
julien murzi,university of salzburg,276,9,,B Only,man,highered,international,moreri,austria,assistant,lesssecure,other,other ,FALSE,,FALSE
alan reid,rice university,,,1988,B Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,TRUE,1407,FALSE
valentin ovsienko,cnrs,2449,28,,B Only,man,highered,international,moreri,france,professor,moresecure,math,mathstat,FALSE,,FALSE
bronislaw wajnryb,rzeszow university of technology,,,,B Only,man,highered,international,moreri,poland,professor,moresecure,math,mathstat,FALSE,,FALSE
max gurevich,technion israel institute of technology,,,,B Only,man,highered,international,moreri,israel,assistant,lesssecure,math,mathstat,FALSE,,FALSE
michael khanevsky,technion israel institute of technology,,,2012,B Only,man,highered,international,moreri,israel,assistant,lesssecure,math,mathstat,FALSE,,FALSE
uri shapira,technion israel institute of technology,197,8,2010,B Only,man,highered,international,moreri,israel,associate,moresecure,math,mathstat,FALSE,,FALSE
abhishek saha,queen mary university of london,346,12,2012,B Only,man,highered,international,moreri,,professor,moresecure,math,mathstat,FALSE,,FALSE
ross g pinsky,technion israel institute of technology,1497,15,1982,B Only,man,highered,international,moreri,israel,professor,moresecure,math,mathstat,FALSE,,FALSE
zvi ziegler,technion israel institute of technology,,,1965,B Only,man,highered,international,moreri,israel,retired,moresecure,math,mathstat,FALSE,,FALSE
peter schumer,middlebury college,,,1983,B Only,man,highered,domesticother,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
david r dorman,middlebury college,,,1984,B Only,man,highered,domesticother,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
shmuel weinberger,university of chicago,3671,30,1982,B and C,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,TRUE,1045,FALSE
gershon wolansky,technion israel institute of technology,,,1985,B Only,man,highered,international,moreri,israel,,,math,mathstat,FALSE,,FALSE
leonid potyagailo,university of lille,,,1985,B and C,man,highered,international,moreri,france,,,math,mathstat,FALSE,,FALSE
gerald dworkin,university of california davis,8701,30,,B Only,man,highered,domesticr1,moreri,,professor,moresecure,other,other ,FALSE,,FALSE
effie kalfagianni,michigan state university,1092,16,,B Only,woman,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,TRUE,437,FALSE
arkady berenstein,university of oregon,,,,B Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,FALSE,1145,FALSE
jack sonn,technion israel institute of technology,,,1970,B Only,man,highered,international,moreri,israel,retired,moresecure,math,mathstat,FALSE,,FALSE
jacob greenstein,university of california riverside,230,9,2001,B Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,FALSE,124,FALSE
howard masur,university of chicago,6304,33,1974,B and C,man,highered,domesticr1,moreri,,ntt,lesssecure,math,mathstat,TRUE,,FALSE
peter winkler,dartmouth college,,,1975,B Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,FALSE,1204,FALSE
jeff witmer,oberlin college,,,,B Only,man,highered,domesticother,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
jack calcut,oberlin college,,,2004,B Only,man,highered,domesticother,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
artem zvavitch,kent state university,514,12,2001,B Only,man,highered,domesticr2,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
yuri bazlov,university of manchester,128,6,2003,B Only,man,highered,international,moreri,united kingdom,professor,moresecure,math,mathstat,FALSE,,FALSE
daoud bshouty,technion israel institute of technology,774,15,,B Only,man,highered,international,moreri,israel,professor,moresecure,math,mathstat,FALSE,,FALSE
anton zeitlin,louisiana state university,,,2012,B Only,man,highered,domesticr1,moreri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
frank swenton,middlebury college,,,1999,B Only,man,highered,domesticother,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
michael mills,loyola marymount university,865,11,1999,B Only,man,highered,domesticr2,lessri,,associate,moresecure,other,other ,FALSE,,FALSE
david joyce,clark university,,,1979,B Only,man,highered,domesticr2,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
sally cockburn,hamilton college,184,8,1991,B Only,woman,highered,domesticother,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
yehuda pinchover,technion israel institute of technology,1672,21,1986,B Only,man,highered,international,moreri,israel,professor,moresecure,math,mathstat,FALSE,,FALSE
steve kerckhoff,stanford university,,,,B Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,FALSE,931,FALSE
yoav moriah,technion israel institute of technology,,,,B Only,man,highered,international,moreri,israel,professor,moresecure,math,mathstat,FALSE,,FALSE
morwen thistlethwaite,university of tennessee,,,1972,B Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,FALSE,854,FALSE
richard schwartz,brown university,,,1991,B and C,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,TRUE,604,FALSE
tao li,boston college,,,1988,B Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,TRUE,204,FALSE
alexander ioffe,technion israel institute of technology,5103,34,,B Only,man,highered,international,moreri,israel,retired,moresecure,math,mathstat,FALSE,,FALSE
michael biro,university of connecticut,87,5,2013,B Only,man,highered,domesticr1,moreri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
thomas kindred,university of nebraska,,,2018,B Only,man,highered,domesticr1,moreri,,ntt,lesssecure,math,mathstat,FALSE,,FALSE
terence tao,university of california los angeles,71530,93,1996,B Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,TRUE,15430,yes
kenneth c millett,university of california santa barbara,4064,27,1967,B Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,TRUE,1671,FALSE
andre neves,university of chicago,,,2005,B and C,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,FALSE,506,FALSE
ina petkova,dartmouth college,,,2012,B Only,woman,highered,domesticr1,moreri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
michel l lapidus,university of california riverside,4304,32,1986,B Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,TRUE,1572,FALSE
robert l devaney,boston university,,,1973,B Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,TRUE,2249,FALSE
ravi vakil,stanford university,,,1997,B Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,TRUE,827,FALSE
carl pomerance,dartmouth college,9888,46,1972,B Only,man,highered,domesticr1,moreri,,retired,moresecure,math,mathstat,TRUE,2240,FALSE
benjamin linowitz,oberlin college,147,7,2012,B Only,man,highered,domesticother,lessri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
yehuda john levy,university of glasgow,107,6,2013,B Only,man,highered,international,moreri,,assistant,lesssecure,other,other ,FALSE,,FALSE
vladimir retakh,rutgers university,3070,23,1973,B Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,TRUE,971,FALSE
uwe kaiser,boise state university,214,9,1989,B Only,man,highered,domesticr2,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
raffaele marcovecchio,universita di pisa,,,2004,B Only,man,highered,international,moreri,italy,,,math,mathstat,FALSE,,FALSE
konstantin khanin,university of toronto,3125,28,,B Only,man,highered,international,moreri,,professor,moresecure,math,mathstat,FALSE,,FALSE
j david velleman,new york university,8823,35,2006,B Only,man,highered,domesticr1,moreri,,professor,moresecure,other,other ,FALSE,,FALSE
alexander kleshchev,university of oregon,3150,31,1993,B and C,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,TRUE,1737,FALSE
christopher j leininger,university of illinois,,,1996,B Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,FALSE,443,FALSE
charles reichhardt,los alamos national laboratory,8810,51,,B Only,man,nothighered,,,,,,,,FALSE,,FALSE
brigitte servatius,worcester polytechnic institute,,,,B Only,woman,highered,domesticr2,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
vladimir chernov,dartmouth college,1546,18,1987,B Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,FALSE,152,FALSE
ilia binder,university of toronto,300,10,1997,B Only,man,highered,international,moreri,canada,professor,moresecure,math,mathstat,FALSE,,FALSE
george pappas,michigan state university,1279,19,2001,B Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,FALSE,960,FALSE
hugh howards,wake forest university,,,1997,B Only,man,highered,domesticr2,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
rubä_ä__n a martä_ä__nez avendaä_ä__o,instituto tecnologico autonomo de mexico,358,8,,B Only,man,highered,international,moreri,mexico,professor,moresecure,math,mathstat,FALSE,,FALSE
richard bedient,hamilton college,,,1980,B Only,man,highered,domesticother,lessri,,retired,moresecure,math,mathstat,FALSE,,FALSE
shelly harvey,rice university,575,13,2002,B Only,woman,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,TRUE,310,FALSE
alina stancu,concordia university,548,10,1996,B Only,woman,highered,domesticother,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
michael yampolsky,university of toronto,1334,22,,B Only,man,highered,international,moreri,canada,professor,moresecure,math,mathstat,FALSE,,FALSE
octav cornea,university of montreal,,,,B Only,man,highered,international,moreri,canada,professor,moresecure,math,mathstat,FALSE,,FALSE
michael falk,northern arizona university,1142,18,1983,B Only,man,highered,domesticr2,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
andrew dykstra,hamilton college,,,2007,B Only,man,highered,domesticother,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
robert redfield,centers for disease control and prevention,,,,B Only,man,nothighered,,,,,,,,FALSE,,FALSE
alex eskin,university of chicago,3155,31,1993,B and C,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,TRUE,1301,FALSE
jeffrey stuart,pacific lutheran university,,,,B Only,man,highered,domesticother,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
paul melvin,bryn mawr college,,,1977,B Only,man,highered,domesticother,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
vladimir dotsenko,university of strasbourg,550,14,2007,B Only,man,highered,international,moreri,france,professor,moresecure,math,mathstat,FALSE,,FALSE
susan friedlander,university of southern california,2036,27,,B and C,woman,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,TRUE,706,FALSE
victor turchin,kansas state university,650,16,2002,B Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,FALSE,245,FALSE
elizabeth wilmer,oberlin college,,,,B Only,woman,highered,domesticother,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
niels grä_ä__nbech jensen,university of california davis,,,,B Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,FALSE,9,FALSE
ekaterina amerik,universite paris sud,,,,B Only,woman,highered,international,moreri,france,professor,moresecure,math,mathstat,FALSE,,FALSE
michael entov,technion israel institute of technology,,,,B and C,man,highered,international,moreri,israel,professor,moresecure,math,mathstat,FALSE,,FALSE
jenya soprunova,kent state university,146,5,2002,B Only,woman,highered,domesticr2,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
james kierstead,victoria university of wellington,33,3,,B Only,man,highered,international,moreri,new zealand,ntt,lesssecure,other,other ,FALSE,,FALSE
misha feigin,university of glasgow,591,12,2003,B Only,man,highered,international,moreri,united kingdom,ntt,lesssecure,math,mathstat,FALSE,,FALSE
ingrid irmer,southern university of science and technology,,,,B Only,woman,highered,international,moreri,china,assistant,lesssecure,math,mathstat,FALSE,,FALSE
david gä__rä__ay morris,williams college,,,,B Only,man,highered,domesticother,lessri,,associate,moresecure,other,other ,FALSE,,FALSE
ezra getzler,northwestern university,7556,33,1986,B Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,TRUE,2214,FALSE
