,name,affiliation,citations,hindex,year,lettergroup,gender,highered,institution,research,country,role,security,field,simplefield,fellows,amscit,Fields
189,dave kung,st marys college of maryland,,,,A Only,man,highered,domesticother,lessri,,professor,moresecure,math,mathstat,False,,False
190,lisa bromberg,springfield college,,,2015.0,A Only,woman,highered,domesticother,lessri,,assistant,lesssecure,math,mathstat,False,,False
191,anna haensch,duquesne university,,,2013.0,A Only,woman,highered,domesticr2,lessri,,assistant,lesssecure,math,mathstat,False,,False
192,elizabeth thoren,pepperdine university,,,,A Only,woman,highered,domesticother,lessri,,ntt,lesssecure,math,mathstat,False,,False
193,mike tait,villanova university,178.0,26.0,,A Only,man,highered,domesticr2,lessri,,assistant,lesssecure,math,mathstat,False,,False
194,josh laison,willamette university,181.0,7.0,,A Only,man,highered,domesticother,lessri,,associate,moresecure,math,mathstat,False,,False
195,amanda knecht,villanova university,24.0,3.0,2007.0,A Only,woman,highered,domesticr2,lessri,,associate,moresecure,math,mathstat,False,,False
196,jodi mcwhirter,washington university in st louis,,,,A Only,woman,highered,domesticr1,moreri,,grad,lesssecure,math,mathstat,False,,False
197,benjamin dickman,hewitt school,35.0,3.0,2014.0,A Only,man,nothighered,,,,,,,,False,,False
198,priya v prasad,university of texas at san antonio,1.0,1.0,,A Only,woman,highered,domesticr2,lessri,,assistant,lesssecure,math,mathstat,False,,False
199,moira mcdermott,syracuse university,63.0,4.0,1996.0,A Only,woman,highered,domesticr1,moreri,,associate,moresecure,math,mathstat,False,,False
200,rosalyn lapier,university of montana,42.0,3.0,,A Only,woman,highered,domesticr2,lessri,,associate,moresecure,other,other ,False,,False
201,michael lacey,georgia institute of technology,4532.0,31.0,1987.0,A Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,True,1978.0,False
202,xander faber,ida center for computing analysis,,,2008.0,A Only,man,nothighered,,,,,,,,False,,False
203,john golden,grand valley state university,,,1997.0,A Only,man,highered,domesticother,lessri,,associate,moresecure,math,mathstat,False,,False
204,debra k borkovitz,boston university,,,1992.0,A Only,woman,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,False,0.0,False
205,maria g martinez,arizona state university,,,1998.0,A Only,woman,highered,domesticr1,moreri,,grad,lesssecure,math,mathstat,False,,False
206,dave jensen,university of kentucky,,,,A Only,man,highered,domesticr1,moreri,,associate,moresecure,math,mathstat,False,,False
207,alexandra newlon,colgate university,,,,A Only,woman,highered,domesticother,lessri,,undergrad,lesssecure,math,mathstat,False,,False
208,brian l walter,evergreen state college,,,2011.0,A Only,man,highered,domesticother,lessri,,,,math,mathstat,False,,False
209,matilde lalin,university of montreal,419.0,12.0,,A Only,woman,highered,international,moreri,canada,professor,moresecure,math,mathstat,False,,False
210,luiza coelho,california institute of technology,,,,A Only,woman,highered,domesticr1,moreri,,grad,lesssecure,other,other ,False,,False
211,geoffrey buhl,california state university channel islands,,,,A Only,man,highered,domesticother,lessri,,assistant,lesssecure,math,mathstat,False,,False
212,james sheldon,university of arizona,17.0,2.0,,A Only,man,,,,,,,,,False,,False
213,daniel reinholz,san diego state university,604.0,12.0,2014.0,A Only,man,highered,domesticr2,lessri,,assistant,lesssecure,,,False,,False
214,olivia borghi,university of washington,,,,A Only,woman,highered,domesticr1,moreri,,grad,lesssecure,math,mathstat,False,,False
215,natalie sheils,unitedhealth group,,,,A Only,woman,nothighered,,,,,,,,False,,False
216,holly swisher,oregon state university,191.0,8.0,2005.0,A Only,woman,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,False,64.0,False
217,madeline brandt,university of california berkeley,33.0,3.0,,A Only,woman,highered,domesticr1,moreri,,grad,lesssecure,math,mathstat,False,,False
